"sample_id","anem_id","old_anem_id"
"APCL16_676",2520,NA
"APCL16_677",2521,NA
"APCL16_678",2522,NA
"APCL16_680",2523,NA
"APCL16_681",2524,1346
"APCL16_682",2525,NA
"APCL16_685",2526,NA
"APCL16_686",2527,NA
"APCL16_687",2528,NA
"APCL16_688",2149,NA
"APCL16_693",2530,NA
"APCL16_695",2153,NA
"APCL16_696",2155,NA
"APCL16_698",2531,NA
"APCL16_701",2533,NA
"APCL16_702",2534,NA
"APCL16_703",2157,NA
"APCL16_710",NA,NA
"APCL16_712",2535,NA
"APCL16_713",2536,NA
"APCL16_715",2537,NA
"APCL16_717",2538,NA
"APCL16_718",2157,NA
"APCL16_719",2539,NA
"APCL16_720",2540,NA
"APCL16_721",2541,NA
"APCL16_722",2542,NA
"APCL16_723",2543,NA
"APCL16_724",2544,738
"APCL16_727",2545,NA
"APCL16_729",2546,740
"APCL16_730",2547,NA
"APCL16_731",2548,741
"APCL16_733",2549,NA
"APCL16_734",2550,466
"APCL16_735",2548,NA
"APCL16_739",2551,781
"APCL16_741",2552,NA
"APCL16_745",2161,NA
"APCL16_747",2135,NA
"APCL16_753",2136,NA
"APCL16_756",2554,NA
"APCL16_758",NA,NA
"APCL16_760",2559,NA
"APCL16_763",2564,NA
"APCL16_765",2560,757
"APCL16_766",2561,394
"APCL16_770",2001,NA
"APCL16_771",2002,NA
"APCL16_773",2192,NA
"APCL16_774",2563,966
"APCL16_775",2204,NA
"APCL16_778",2566,950
"APCL16_779",2207,NA
"APCL16_780",2567,NA
"APCL16_781",2208,NA
"APCL16_782",2568,970
"APCL16_783",2569,NA
"APCL16_785",2220,NA
"APCL16_786",2571,478
"APCL16_788",2218,NA
"APCL16_790",2572,110
"APCL16_791",881,NA
"APCL16_793",NA,NA
"APCL16_794",2576,1126
"APCL16_795",2577,1127
"APCL16_796",2578,NA
"APCL16_799",2036,NA
"APCL16_802",2035,NA
"APCL16_803",2037,NA
"APCL16_805",2579,NA
"APCL16_809",2250,NA
"APCL16_810",2248,NA
"APCL16_811",2246,NA
"APCL16_812",2582,689
"APCL16_813",NA,NA
"APCL16_003",2175,NA
"APCL16_004",2177,494
"APCL16_007",2178,402
"APCL16_010",2179,810
"APCL16_014",2181,1018
"APCL16_020",2161,NA
"APCL16_017",2183,NA
"APCL16_022",2184,807
"APCL16_026",2187,NA
"APCL16_032",2191,NA
"APCL16_034",2002,NA
"APCL16_037",1027,NA
"APCL16_041",1033,NA
"APCL16_039",2005,NA
"APCL16_045",2003,NA
"APCL16_047",2192,NA
"APCL16_054",495,NA
"APCL16_053",2195,NA
"APCL16_056",2196,488
"APCL16_070",2014,NA
"APCL16_066",2201,960
"APCL16_069",2202,NA
"APCL16_078",2206,128
"APCL16_075",2204,NA
"APCL16_081",2207,727
"APCL16_084",2209,NA
"APCL16_087",971,NA
"APCL16_090",2211,NA
"APCL16_098",2216,476
"APCL16_100",2217,NA
"APCL16_106",2223,940
"APCL16_108",434,110
"APCL16_111",881,NA
"APCL16_114",2226,NA
"APCL16_116",2227,NA
"APCL16_119",2230,NA
"APCL16_122",2021,NA
"APCL16_128",2235,415
"APCL16_133",909,419
"APCL16_135",2238,359
"APCL16_142",2243,389
"APCL16_147",2246,849
"APCL16_151",2248,871
"APCL16_153",2250,904
"APCL16_157",2257,NA
"APCL16_164",2256,NA
"APCL16_166",2258,NA
"APCL16_169",2259,NA
"APCL16_173",2261,NA
"APCL16_176",2262,447
"APCL16_178",2263,445
"APCL16_180",2264,NA
"APCL16_186",2268,NA
"APCL16_189",2147,NA
"APCL16_188",2269,397
"APCL16_192",2270,NA
"APCL16_194",2271,1286
"APCL16_196",2272,NA
"APCL16_198",2274,NA
"APCL16_202",1351,NA
"APCL16_204",2275,NA
"APCL16_206",2276,NA
"APCL16_209",227,NA
"APCL16_215",2281,NA
"APCL16_217",2282,NA
"APCL16_220",2284,1080
"APCL16_225",2287,NA
"APCL16_227",2288,NA
"APCL16_232",2291,NA
"APCL16_234",NA,NA
"APCL16_236",NA,NA
"APCL16_239",2292,NA
"APCL16_242",NA,NA
"APCL16_245",2038,NA
"APCL16_247",NA,NA
"APCL16_255",2029,NA
"APCL16_258",2294,NA
"APCL16_265",2295,688
"APCL16_267",2296,696
"APCL16_269",2297,1326
"APCL16_271",2298,NA
"APCL16_273",2299,NA
"APCL16_275",2300,NA
"APCL16_280",2304,704
"APCL16_282",2305,NA
"APCL16_284",1304,NA
"APCL16_286",2306,701
"APCL16_291",2309,NA
"APCL16_296",2312,NA
"APCL16_298",2313,NA
"APCL16_302",2316,NA
"APCL16_304",2317,NA
"APCL16_307",2318,377
"APCL16_309",51,NA
"APCL16_312",NA,NA
"APCL16_314",NA,NA
"APCL16_316",NA,NA
"APCL16_318",2401,NA
"APCL16_324",NA,NA
"APCL16_330",2402,NA
"APCL16_335",2406,1091
"APCL16_339",2408,NA
"APCL16_342",2409,NA
"APCL16_344",2087,NA
"APCL16_346",2410,NA
"APCL16_348",2131,NA
"APCL16_352",2412,1092
"APCL16_358",NA,NA
"APCL16_364",NA,NA
"APCL16_370",NA,NA
"APCL16_377",1098,NA
"APCL16_379",2417,NA
"APCL16_383",2418,NA
"APCL16_386",2419,NA
