"anem_table_id","sample_id","size","anem_id","old_anem_id"
790,"APCL16_419",5.2,2257,NA
791,"APCL16_420",6.6,NA,NA
792,"APCL16_421",7.7,2254,NA
793,"APCL16_424",8.2,2424,523
809,"APCL16_428",9,NA,NA
819,"APCL16_430",5.8,2425,512
820,"APCL16_432",9.6,2426,NA
862,"APCL16_438",9,2428,NA
866,"APCL16_442",9.7,2429,NA
873,"APCL16_443",4.4,2430,680
874,"APCL16_444",8.5,2431,1116
877,"APCL16_446",7.2,2432,1114
879,"APCL16_447",7.8,2433,938
880,"APCL16_452",7.3,2435,221
882,"APCL16_453",4.4,2434,NA
889,"APCL16_454",4.1,2436,NA
891,"APCL16_455",6.2,2437,NA
892,"APCL16_458",5.3,2438,NA
893,"APCL16_465",7.2,2444,934
894,"APCL16_459",7.6,2441,NA
895,"APCL16_462",8,2442,NA
896,"APCL16_464",6.2,2443,NA
900,"APCL16_468",8.8,2445,472
902,"APCL16_471",7.3,2446,NA
904,"APCL16_480",7.8,2448,955
905,"APCL16_485",7,NA,NA
906,"APCL16_491",9.7,NA,NA
908,"APCL16_496",8.7,2449,NA
909,"APCL16_498",8.8,2450,936
910,"APCL16_499",8,2451,NA
912,"APCL16_503",6,2452,NA
913,"APCL16_504",4.7,2453,NA
915,"APCL16_507",8,2454,NA
921,"APCL16_508",9.5,2455,NA
925,"APCL16_509",6.2,2458,NA
926,"APCL16_510",4,2459,NA
931,"APCL16_511",4.4,NA,NA
933,"APCL16_512",6.8,2462,NA
934,"APCL16_516",7.9,2463,1098
935,"APCL16_517",8.4,2464,NA
939,"APCL16_519",8.3,2465,601
940,"APCL16_521",6.5,2466,NA
941,"APCL16_522",7.7,2469,NA
943,"APCL16_524",9.2,2060,NA
944,"APCL16_526",8.7,2469,600
948,"APCL16_529",3.8,2471,NA
957,"APCL16_531",6.6,2461,NA
958,"APCL16_532",5.9,2472,NA
963,"APCL16_478",4.7,2473,597
964,"APCL16_537",9.5,NA,NA
972,"APCL16_541",6.6,2474,NA
973,"APCL16_543",4.3,2475,NA
975,"APCL16_544",8.6,2476,595
978,"APCL16_547",5.6,2479,NA
979,"APCL16_549",8.5,2480,1122
980,"APCL16_551",9.3,2481,NA
984,"APCL16_555",6.4,2482,NA
985,"APCL16_556",4.3,2061,NA
986,"APCL16_557",5.8,2483,NA
989,"APCL16_560",11.8,2477,873
995,"APCL16_563",5.4,2486,NA
996,"APCL16_564",8.4,2487,913
997,"APCL16_565",8.6,2488,912
1001,"APCL16_566",10.5,2490,428
1003,"APCL16_570",4.7,2491,427
1005,"APCL16_571",8,423,NA
1007,"APCL16_575",7.6,2493,NA
1008,"APCL16_576",9.6,2238,NA
1011,"APCL16_580",6.3,2495,NA
1013,"APCL16_577",5.4,2494,NA
1014,"APCL16_582",5.8,2495,240
1015,"APCL16_584",8.4,2497,1047
1016,"APCL16_585",4.4,2498,NA
1019,"APCL16_587",7.3,2499,NA
1020,"APCL16_588",6.6,2069,NA
1021,"APCL16_592",8.8,2500,NA
1023,"APCL16_597",8.2,2067,NA
1026,"APCL16_598",8.6,2501,NA
1027,"APCL16_600",8.8,2072,NA
1033,"APCL16_607",6.6,2502,NA
1035,"APCL16_608",6.7,2503,691
1036,"APCL16_615",9.5,NA,NA
1047,"APCL16_620",9.6,2504,NA
1054,"APCL16_627",3.8,2505,930
1055,"APCL16_634",7.8,NA,NA
1056,"APCL16_641",7,NA,NA
1062,"APCL16_642",6.1,2506,NA
1064,"APCL16_643",4.3,2507,NA
1067,"APCL16_645",8.7,2508,NA
1070,"APCL16_646",7.7,2509,NA
1071,"APCL16_653",3.6,NA,NA
1072,"APCL16_660",4.2,NA,NA
1080,"APCL16_662",4.3,2510,NA
1083,"APCL16_663",4.6,2511,NA
1091,"APCL16_664",5.4,2512,NA
1092,"APCL16_666",7,2513,NA
1093,"APCL16_667",4,2514,NA
1094,"APCL16_669",4.1,2515,NA
1098,"APCL16_671",9.4,2516,NA
1099,"APCL16_673",5.1,2517,NA
1107,"APCL16_674",5.7,2518,NA
1108,"APCL16_675",5,2519,508
1118,"APCL16_676",5.1,2520,NA
1128,"APCL16_677",5.6,2521,NA
1129,"APCL16_678",6.3,2522,NA
1132,"APCL16_680",5.7,2523,NA
1134,"APCL16_681",8,2524,1346
1137,"APCL16_682",7.7,2525,NA
1140,"APCL16_685",3.5,2526,NA
1141,"APCL16_686",5,2527,NA
1142,"APCL16_687",5.6,2528,NA
1143,"APCL16_688",4,2149,NA
1148,"APCL16_693",9.1,2530,NA
1149,"APCL16_695",10,2153,NA
1150,"APCL16_696",7.2,2155,NA
1152,"APCL16_698",8.5,2531,NA
1155,"APCL16_701",6,2533,NA
1157,"APCL16_702",6.7,2534,NA
1159,"APCL16_703",4.8,2157,NA
1160,"APCL16_710",7.4,NA,NA
1165,"APCL16_712",8.8,2535,NA
1166,"APCL16_713",5.9,2536,NA
1168,"APCL16_715",5.4,2537,NA
1169,"APCL16_717",3.9,2538,NA
1170,"APCL16_718",9.2,2157,NA
1171,"APCL16_719",4.2,2539,NA
1172,"APCL16_720",4.7,2540,NA
1174,"APCL16_721",5.2,2541,NA
1175,"APCL16_722",5.5,2542,NA
1176,"APCL16_723",4.8,2543,NA
1178,"APCL16_724",5.8,2544,738
1182,"APCL16_727",4.5,2545,NA
1184,"APCL16_729",7.9,2546,740
1186,"APCL16_730",4.6,2547,NA
1188,"APCL16_731",3.8,2548,741
1192,"APCL16_733",4.8,2549,NA
1193,"APCL16_734",9.8,2550,466
1194,"APCL16_735",8.3,2548,NA
1195,"APCL16_739",3.6,2551,781
1196,"APCL16_741",6,2552,NA
1204,"APCL16_745",7.1,2161,NA
1206,"APCL16_747",11.8,2135,NA
1207,"APCL16_753",7.6,2136,NA
1208,"APCL16_756",11.8,2554,NA
1209,"APCL16_758",8.8,NA,NA
1213,"APCL16_760",12.6,2559,NA
1215,"APCL16_763",10.6,2564,NA
1216,"APCL16_765",11.7,2560,757
1217,"APCL16_766",7.6,2561,394
1219,"APCL16_770",6,2001,NA
1220,"APCL16_771",6.5,2002,NA
1221,"APCL16_773",8.7,2192,NA
1222,"APCL16_774",5.4,2563,966
1224,"APCL16_775",6.8,2204,NA
1233,"APCL16_778",9.7,2566,950
1235,"APCL16_779",7.7,2207,NA
1237,"APCL16_780",8.2,2567,NA
1238,"APCL16_781",9.4,2208,NA
1239,"APCL16_782",10.5,2568,970
1240,"APCL16_783",6.6,2569,NA
1245,"APCL16_785",8.2,2220,NA
1247,"APCL16_786",7,2571,478
1249,"APCL16_788",8.8,2218,NA
1250,"APCL16_790",10,2572,110
1251,"APCL16_791",10.7,881,NA
1254,"APCL16_793",9.6,NA,NA
1255,"APCL16_794",6.8,2576,1126
1256,"APCL16_795",9.4,2577,1127
